1	100	0	17317516	4	1	
2	100	0	12475148	4	1	
3	100	0	7806564		4	1
1	100	0	2014736		16	1
2	100	0	11167996	4	1	
3	100	0	11168000	4	1	
1	100	0	9974552		8	1
2	100	0	4057520		4	1
3	100	0	4057436		4	1
1	100	0	4057360		4	1
2	100	0	9772056		4	1
3	100	0	869888		8	1
1	100	0	7597580		8	1
2	100	0	11353544	4	1	
3	100	0	17843220	4	1	
1	100	0	13701344	4	1	
2	100	0	3478568		12	1
3	100	0	17871504	8	1	
1	100	0	17871492	8	1	
2	100	0	17871500	8	1	
3	100	0	17871516	4	1	
1	100	0	17871520	4	1	
2	100	0	17871524	4	1	
3	100	0	17871548	12	1	
1	100	0	14073900	8	1	
2	100	0	7822400	4	1	
3	100	0	7822412	8	1	
1	100	0	7822384	4	1	
2	100	0	5641564	8	1	
3	100	0	5641644	4	1	
1	100	0	5641568	4	1	
2	100	0	4605220	12	1	
3	105	0	4605320	8	1	
1	105	0	16805404	4	1	
2	105	0	16805316	4	1	
3	105	0	14836328	8	1	
1	105	0	1698856	4	1	
2	105	0	637096	4	1	
3	105	0	637100	4	1	
1	105	0	1265960	4	1	
2	105	0	1265964	4	1	
3	105	0	1265968	4	1	
1	105	0	5663744	8	1	
2	105	0	4581624	12	1	
3	105	0	12639344	4	1	
1	105	0	12639296	4	1	
2	105	0	17185956	4	1	
3	105	0	17186112	4	1	
1	105	0	3772936	4	1	
2	105	0	3772940	4	1	
3	105	0	3772944	4	1	
1	105	0	3772948	4	1	
2	105	0	14322032	12	1	
3	105	0	14322044	12	1	
1	105	0	14322168	4	1	
2	105	0	14322184	12	1	
3	105	0	14322264	4	1	
1	105	0	244428	4	1	
2	105	0	9932664	4	1	
3	105	0	15919472	4	1	
1	105	0	977368	8	1	
2	105	0	14375212	4	1	
3	105	0	4768804	4	1	
1	105	0	7141900	8	1	
2	110	0	7141908	8	1	
3	110	0	15665984	4	1	
1	110	0	12726328	8	1	
2	110	0	12632908	4	1	
3	110	0	12632908	8	1	
1	110	0	9207792	4	1	
2	110	0	7205000	4	1	
3	110	0	8892732	4	1	
